,rank,1_day_rolling_avg_floor_price,rw623-hyaaa-aaaah-qctcq-cai,ugdkf-taaaa-aaaak-acoia-cai,4ggk4-mqaaa-aaaae-qad6q-cai,skjpp-haaaa-aaaae-qac7q-cai,pk6rk-6aaaa-aaaae-qaazq-cai,dhiaa-ryaaa-aaaae-qabva-cai,bxdf4-baaaa-aaaah-qaruq-cai,3mttv-dqaaa-aaaah-qcn6q-cai,oeee4-qaaaa-aaaak-qaaeq-cai,times_above_floor
73866,2058,2200.0,0,0,0,1,0,0,0,0,0,1.1136363636363635
73867,2058,229.999999,0,0,0,1,0,0,0,0,0,2.1739130529300565
73868,2059,350.0,0,0,0,1,0,0,0,0,0,1.0
73869,2059,350.0,0,0,0,1,0,0,0,0,0,1.0
73870,2060,350.0,0,0,0,1,0,0,0,0,0,1.0
73871,2060,350.0,0,0,0,1,0,0,0,0,0,1.0
73872,2061,1000.0,0,0,0,1,0,0,0,0,0,1.1
73873,2061,1399.0,0,0,0,1,0,0,0,0,0,1.1079342387419586
73874,2061,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
73875,2061,1000.0,0,0,0,1,0,0,0,0,0,1.1
73876,2061,1399.0,0,0,0,1,0,0,0,0,0,1.1079342387419586
73877,2061,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
73878,2062,350.0,0,0,0,1,0,0,0,0,0,1.0
73879,2062,350.0,0,0,0,1,0,0,0,0,0,1.0
73880,2063,350.0,0,0,0,1,0,0,0,0,0,1.0
73881,2063,350.0,0,0,0,1,0,0,0,0,0,1.0
73882,2064,500.0,0,0,0,1,0,0,0,0,0,1.8
73883,2064,500.0,0,0,0,1,0,0,0,0,0,1.8
73884,2065,350.0,0,0,0,1,0,0,0,0,0,1.0
73885,2065,350.0,0,0,0,1,0,0,0,0,0,1.0
73886,2066,1469.42069,0,0,0,1,0,0,0,0,0,1.565242694384547
73887,2066,1469.42069,0,0,0,1,0,0,0,0,0,1.565242694384547
73888,2067,229.999999,0,0,0,1,0,0,0,0,0,9.565217432892249
73889,2067,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
73890,2067,229.999999,0,0,0,1,0,0,0,0,0,9.565217432892249
73891,2067,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
73892,2068,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
73893,2068,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
73894,2069,1200.0,0,0,0,1,0,0,0,0,0,1.1666666666666667
73895,2069,1290.0,0,0,0,1,0,0,0,0,0,1.2403100775193798
73896,2069,229.999999,0,0,0,1,0,0,0,0,0,3.0434782741020796
73897,2069,1200.0,0,0,0,1,0,0,0,0,0,1.1666666666666667
73898,2069,1290.0,0,0,0,1,0,0,0,0,0,1.2403100775193798
73899,2069,229.999999,0,0,0,1,0,0,0,0,0,3.0434782741020796
73900,2071,350.0,0,0,0,1,0,0,0,0,0,1.0
73901,2071,350.0,0,0,0,1,0,0,0,0,0,1.0
73902,2072,1700.0,0,0,0,1,0,0,0,0,0,2.588235294117647
73903,2072,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
73904,2072,1700.0,0,0,0,1,0,0,0,0,0,2.588235294117647
73905,2072,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
73906,2074,888.0,0,0,0,1,0,0,0,0,0,1.1261261261261262
73907,2074,350.0,0,0,0,1,0,0,0,0,0,1.0
73908,2074,888.0,0,0,0,1,0,0,0,0,0,1.1261261261261262
73909,2074,350.0,0,0,0,1,0,0,0,0,0,1.0
73910,2076,229.999999,0,0,0,1,0,0,0,0,0,3.0434782741020796
73911,2076,229.999999,0,0,0,1,0,0,0,0,0,3.0434782741020796
73912,2077,1150.0,0,0,0,1,0,0,0,0,0,3.130434782608696
73913,2077,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
73914,2077,1150.0,0,0,0,1,0,0,0,0,0,3.130434782608696
73915,2077,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
73916,2078,1469.42069,0,0,0,1,0,0,0,0,0,1.565242694384547
73917,2078,229.999999,0,0,0,1,0,0,0,0,0,3.0434782741020796
73918,2078,1469.42069,0,0,0,1,0,0,0,0,0,1.565242694384547
73919,2078,229.999999,0,0,0,1,0,0,0,0,0,3.0434782741020796
73920,2079,900.0,0,0,0,1,0,0,0,0,0,1.0555555555555556
73921,2079,980.0,0,0,0,1,0,0,0,0,0,1.0
73922,2079,1100.0,0,0,0,1,0,0,0,0,0,1.0
73923,2079,1280.0,0,0,0,1,0,0,0,0,0,1.140625
73924,2079,900.0,0,0,0,1,0,0,0,0,0,1.0555555555555556
73925,2079,980.0,0,0,0,1,0,0,0,0,0,1.0
73926,2079,1100.0,0,0,0,1,0,0,0,0,0,1.0
73927,2079,1280.0,0,0,0,1,0,0,0,0,0,1.140625
73928,2080,900.0,0,0,0,1,0,0,0,0,0,2.7777777777777777
73929,2080,350.0,0,0,0,1,0,0,0,0,0,1.0
73930,2080,900.0,0,0,0,1,0,0,0,0,0,2.7777777777777777
73931,2080,350.0,0,0,0,1,0,0,0,0,0,1.0
73932,2081,399.0,0,0,0,1,0,0,0,0,0,1.0
73933,2081,1469.42069,0,0,0,1,0,0,0,0,0,1.538021082308294
73934,2081,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
73935,2081,399.0,0,0,0,1,0,0,0,0,0,1.0
73936,2081,1469.42069,0,0,0,1,0,0,0,0,0,1.538021082308294
73937,2081,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
73938,2082,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
73939,2082,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
73940,2083,1700.0,0,0,0,1,0,0,0,0,0,1.7647058823529411
